STUDENTID,NAME,GENDER,BIRTHDATE,GRADE,CLASS,PHONENUMBER,ADDRESS,PARENTNAME,PARENTPHONENUMBER,CONTACTNAME,CONTACTPHONENUMBER,EMAIL,ENROLLMENTDATE,GRADUATIONDATE,SCORE,REMARK
1,张三,男,2003-05-10,10,1班,1234567890,北京市朝阳区123号,张三父亲,1234567890,李四,9876543210,zhangsan@example.com,2010-09-01,,85,
2,李四,男,2004-08-15,9,3班,9876543210,北京市海淀区456号,李四父亲,2345678901,王五,8765432109,lisi@example.com,2011-09-01,,92,
3,王五,女,2005-02-20,8,2班,2345678901,北京市西城区789号,王五父亲,3456789012,张三,7654321098,wangwu@example.com,2012-09-01,,78,
4,赵六,男,2004-10-05,9,1班,3456789012,北京市东城区321号,赵六父亲,4567890123,李四,6543210987,zhaoliu@example.com,2011-09-01,,88,
5,小明,男,2003-07-01,10,3班,4567890123,北京市朝阳区111号,小明父亲,5678901234,王五,5432109876,xiaoming@example.com,2010-09-01,,95,
6,小红,女,2004-09-12,9,2班,5678901234,北京市海淀区222号,小红母亲,6789012345,赵六,4321098765,xiaohong@example.com,2011-09-01,,82,
7,小华,男,2005-03-25,8,1班,6789012345,北京市西城区333号,小华父亲,7890123456,小明,3210987654,xiaohua@example.com,2012-09-01,,90,
8,小丽,女,2004-11-07,9,3班,7890123456,北京市东城区444号,小丽母亲,8901234567,小红,2109876543,xiaoli@example.com,2011-09-01,,76,
9,小明,男,2003-06-02,10,2班,8901234567,北京市朝阳区555号,小明父亲,9012345678,小红,1098765432,xiaohong@example.com,2011-09-01,,84,
10,小华,男,2005-02-14,8,1班,9012345678,北京市海淀区666号,小华父亲,0123456789,小红,0987654321,xiaohua@example.com,2012-09-01,,93,
11,小丽,女,2004-10-20,9,3班,0123456789,北京市西城区777号,小丽母亲,1234567890,小华,9876543210,xiaoli@example.com,2011-09-01,,80,
12,小明,男,2003-08-18,10,2班,1234567890,北京市朝阳区888号,小明父亲,2345678901,小丽,8765432109,xiaoli@example.com,2010-09-01,,87,
13,小红,女,2004-05-23,9,1班,2345678901,北京市海淀区999号,小红母亲,3456789012,小明,7654321098,xiaoming@example.com,2011-09-01,,79,
14,小华,男,2005-01-28,8,3班,3456789012,北京市西城区1010号,小华父亲,4567890123,小红,6543210987,xiaohong@example.com,2012-09-01,,91,
